#	word	セット	意味		
244	grontu	swadesh	"to swell, 膨らむ, ふくらむ"		
245	grempi	swadesh	"river, 川, かわ"		
246	blelpe	swadesh	"lake, 湖, みずうみ"		
247	brenti	swadesh	"sea, 海, うみ"		
248	drompu	swadesh	"salt, 塩, しお"		
249	glerpi	swadesh	"dust, 塵, ちり"		
250	blompo	swadesh	"fog, 霧, きり"		
251	plalpa	swadesh	"sky, 空, そら"		
252	prante	swadesh	"wind, 風, かぜ"		
253	glurku	swadesh	"snow, 雪, ゆき"		
254	glanto	swadesh	"ice, 氷, こおり"		
255	krampe	swadesh	"day, 日, ひ"		
256	blolta	swadesh	"year, 年, とし"		
257	bronku	swadesh	"old, 古い, ふるい"		
258	brumpu	swadesh	"rotten, 腐った, くさった"		
259	klarpe	swadesh	"straight, 真っ直ぐ, まっすぐ"		
260	glortu	swadesh	"sharp (as a knife), 鋭い, するどい"		
261	blerti	swadesh	"dull (as a knife), 鈍い, にぶい"		
262	flimpi	swadesh	"smooth, 滑らか, なめらか"		
263	flunki	swadesh	"wet, 濡れた, ぬれた"		
264	blurpu	swadesh	"correct, 正しい, ただしい"		
265	blanko	swadesh	"right, 右, みぎ"		
266	plarte	swadesh	"left, 左, ひだり"		
267	fliltu		[未割当]		
268	frinke		[未割当]		
269	blorku		[未割当]		
270	flirke		[未割当]		
271	flolpo		[未割当]		
272	fronta		[未割当]		
273	frempe		[未割当]		
274	flerpe		[未割当]		
275	flante		[未割当]		
276	florta		[未割当]		
277	flalko		[未割当]		
